sample_id,essay1,essay2,label,essay1_id,essay2_id,para1_id,para2_id
381532,"Manufacturing strategy formulation2.1Manufacturing strategy academic definition and framework(Hayes and Wheelwright, 1984) gave a clear definition for manufacturing strategy: The primary function of a manufacturing strategy is to guide the business in putting together the set of manufacturing capabilities that will enable it to pursue its chosen competitive strategy over the long term. In other words, manufacturing strategy can give a company a competitive advantage. During the past years, manufacturing strategy's role has changed absolutely. The cooperation strategy was focus on marketing and finance as competitive advantage and manufacturing was a tool to implement it before 1980s. Then, manufacturing was gradually considered as a part of cooperation strategy and can provide competitive advantage for companies. (Terry, 2000) explained more about its two important roles as part of the strategic strengths of a company. The first is to provide outstanding manufacturing process with unique technology and operations which is hard to be replicated by competitors. It can be an advantage in marketplace. The other one is that the manufacturing support product to win orders better than its competitors. The infrastructures and process of manufacturing must be consistent with existing product order winners and flexible for future changing business needs.","The product's concept which includes shape, function, features and specifications has been chosen for further steps. The system level design focus on the product system specifications like assembly layout. Then detail design includes whole product specifications of materials, components, and standard parts from suppliers. After that, testing and refinement is about test and evaluation all preproduction aspects of product. Finally, production ramp-up phase is for training the workforce and find any existing flaws in the whole process. This phase is often a continuous step. In fact, there are many different models used in product development processes. All of them have advantages and disadvantages and are applied to different industries. This part will identify three main models: First generation process, Stage gate process and Third generation process. 2.1.1 First generation processNational Aeronautics and Space Administration (NASA) introduced the first generation product development process called Phased Project Planning in 1960s. It often has exhaustive plan of working with suppliers and subcontractors and are applied in aerospace and military industrial projects. (Cooper, 1994) It usually mentioned as Phased Review Process because of its specification.",False,701,2127,8604,8619
1095212,"They said they had stayed at a Meridien Art & Tech (a new concept by Meridien where the hotel is inspired in minimalist art allied with the newest of technologies-having extremely high standards and operating based on a different concept than Dona Filipa!) in Asia and enjoyed it very much; the gentleman said that money was not an issue, however, they would like to see the room before deciding. I spoke to the Front Office Manager who gave me the keys to a couple of rooms and told me to offer rack rate. As it was in the summer, the hotel had a very high occupancy, and they wanted connecting rooms because of the children, though, we only had two available which were not the best. I offered rack rate as I was told to, and they were disappointed; you could tell that they needed the rooms, but were not willing to pay such an amount for them (and they were right! ).They asked for a suite, but all of them were occupied so I thought about negotiating a lower rate with them as they seemed quite distressed and were staying for 11 nights.","As fixed costs alter mostly due to external factors, it is possible for the hotel to concentrate on its controllable costs, and increase its profit by increasing its sales, in comparison to costs, or boosting its revenue through cutting costs (Burgess, 2001). 3.1.12 Total P&L RatiosThe ratios in the total P&L show average figures per day, and these must be taken into account when calculating prices, or establishing strategies to cut costs. It is also important to state that average spends and figures per customer should also be analyse din this situation as they will complement the numbers presented and provide more precise decision-making. The net margin ratio shows the impact of payroll costs on total sales. Knowing that staff costs are relatively high, especially in the hospitality industry (Adams, 1997), it is crucial to keep track of this ratio, even more in this situation, where net margin represents 64.59%, having increased 1.11%. 4. Balance Sheet4.1 IntroductionThe Balance Sheet depicts the financial situation of a business at a particular point in time.",True,38,291,23874,23946
173981,"2003, 24(8), 331-346, p.343 ""IBA Health Ltd. v. OFT: Hysteria Over the Future of UK Merger Control"", J. Whittaker, C.L.I. (2004) 13(28) (ii) The notification systemDespite it being ""rare among countries that actively regulate competition...not to have any mandatory requirement that parties notify sizeable or potentially problematic transactions"", the EA 2002 retained the UK's voluntary system of notification. There are advantages in having such a system due to its flexibility and appeal to businesses. Nave & Esner, supra note 31 In mandatory notification regimes such as the ECMR, filing is required provided certain jurisdictional thresholds are met and penalties can be imposed for failure to file. These pre-merger notifications usually require ""detailed industry information, such as industry market shares, information as to the cost of production...and details regarding the level of investment required to enter the industry"".","with intentThe Offences Against the Person Act 1861, s. 18 , states that ""Whoever shall unlawfully and maliciously by any means whatsoever wound or cause grievous bodily harm to any person, with intent...to do some grievous bodily harm to any person...shall be guilty of [an offence and shall be liable...to imprisonment for life]"". Felicity's action of stabbing Caroline in the eye clearly falls under this statutory provision hence it is likely that she would be found liable for such an offence. Felicity's aggressive conduct and frame of mind satisfy the elements of the statutory requirements in terms of actus reus and mens rea. Case law has aided the clarification of the terms 'wound' and 'grievous bodily harm', giving guidance to the jury deciding upon their existence in each case as a matter of fact. 'Wounding' occurs when the skin is completely broken, and G.B.H. is somewhat broadly defined as being when the harm caused is ""really serious"".",True,315,1326,4279,4305
445890,"Typing at work also aggravates the symptoms. has suffered with occasional neck pain since she ruptured her acromioclavicular ligament in , but did not report any limitation in the range of neck movements. Past Medical HistoryMedicalRupture Acromioclavicular ligament 1992No asthmaNo anginaNo epilepsyNo DVT/PESurgicalHysterectomy 1997Excision right volar ganglionSocial History is an office worker who lives with her husband in . She is a non-smoker and drinks approx 2 units of alcohol/week. has 2 children. AllergiesThere are no known allergies MedicationNo medication Family HistoryMother suffers from Rheumatoid Arthritis No other significant family history Systems ReviewCardiovascular system No chest pain, orthopnoea or PND. No oedema Respiratory System No shortness of breath or cough. No wheeze or haemoptysis. Gastrointestinal System No nausea, vomiting or significant weight loss. No dysphagia, no change in bowel habits.","Immediate, effective medication is vital in order to treat the infection and prevent further wound dehisence. Impact on your learning Describe what you have learnt from this casePhysical findings in small bowel obstruction The importance of surgical history in small bowel obstruction The management of small bowel obstruction - Adhesive Obstruction - initially managed conservatively Suck and drip is indicated when the obstruction is one of repeated episodes due to massive intra abdominal adhesions, rendering surgery hazardous and where a short period of observation with conservative treatment is indicated. Conservative treatment is abandoned if there is increased distension, aggravation of pain, increase in abdominal tenderness or rise in pulse. Use of NG tube - Nasogastric tube for gastric aspiration, aims to decompress the bowel and removes the risk of inhalation of gastric contents during induction of anaesthesia. IV fluid replacement - normal saline to replace fluid lost during vomiting Refeeding syndrome - This is a syndrome of hypophosphataemia, hypomagnesaemia, hypocalcaemia and fluid retention which is seen in severely malnourished patients when they are started on enteral or parenteral nuitrition.",False,333,328,10470,10491
313192,"311. Indeed, many issues that were once seen as localized are now being reinterpreted in a global context. While in many ways, Belize is an isolated example, the processes taking place there that shape cuisine and national identity are exactly the same as those existing in many other places in the world. The Belizean experience simply illustrates the tension and interaction between conflicting forces of division and integration between the local and global which ultimately led to varied forms of national cuisines that are ""creolized, deterritorised, reimagined & commodified."" Wilk, ""Food and Nationalism"", pp. 68. A Contemporary ApproachMoving on from a historical perspective of the role of food in societies, this section will examine food as a tool of analysis, in particular the food-related activity of food blogging will illuminate similar thematic issues explored previously. To begin with, the term ""blog"" is an abbreviated version of ""weblog"" used to describe an online journal, containing dated entries, often made by a sole author.","With all these issues and fears, it is evident that it is neither the religious character, nor cultural tradition of ""Islam"" that threatens Western foreign policy but conflicting Islamic interests and actions that may threaten Western interests. Ibid., pp. 151. From a Threatened ""Islam"" to a Threat of ""Islam""Till this stage, the contemporary coinage of the threat of ""Islam"" should be more accurately termed as the threat of radical Islamism. Even so, most Islamist movements are more concerned with the internal conflicts within the Islamic world than with the outside world. It is worth noting that Ayatollah Khomeini's rhetoric before and after coming to power was a cry of concern: ""Islam is in danger"". Halliday, Islam and the Myth of Confrontation, pp. 120. Reiterating Khomeini's concern on ""Islam"", it is apparent that ""Islam"" does not constitute a coherent monolithic threat fundamentally because ""Islam"" is a fragmented religion in itself.",False,2607,1527,7341,7553
219640,"Through monitoring the transcription of a chromosomally integrated transgene it has been found that embryonically transcribed RNAs can be detected in somatic blastomeres from the 3-cell stage, but are not detected in the germline blastomeres. This is depedant on PIE-1, indicating it acts as a repressor of differentiated cell fates in the germline blastomeres, through general repression of transcription.9- Staining for an epitope of RNA polymerase II characteristic only when it is active, is not found in germline blastomeres, suggesting the mechanism of transcriptional repression by PIE-1 is to inhibit transcription directly.11 However, since PIE-1 is also found in the cytoplasm, it may play other roles. Seydoux, G. et al.","CENP-A can deposit in the absence of the replication process, however, it is synthesised much later.2 Models have been proposed in which CENP-A may be acquired in order to complete centromere assembly, or that histone H3 may temporarily be deposited before a CENP-A specific centromere assembly factor fills in the vacant nucleosomal sites or replaces H3 with CENP-A.2 Since the over production of CENP-A results in its inclusion in euchromatin, and it is proposed that the opposite replacement mechanism may exist in the euchromatin to maintain H3 nucleosomes.6 The exact mechanisms involved here are still to be determined. CENP-B binds to a specific centromeric DNA sequence, the CENP-B box, which occurs as discussed previously. It promotes nucleosome positioning, however it is not absolutely required for centromere functioning. Its localisation is independent of CENP-A, and it is absent in centromeres without CENP-B boxes, so its role in the organisation of centromeric chromatin may therefore be questionable.",True,228,1496,5529,5560
393742,"The influence of behaviourism on the direction of psychology as a science and a respected subject in its own right was significant; it has shaped the scientific methods used by psychologists today from experimental design to statistical analysis. Logical positivism also influenced psychology through it's convictions that scientific theories were about objects, processes and structures in the real world, through this psychology adopted the assumption of realism. This led to terms such as 'attitude' being referred to as real features in the world right up to the present day. Not all however shared the classical view that logical positivism influenced the development of the school of behaviourism in psychology. Smith (1986) has strongly argued against this view, claiming that logical positivism could not have influenced behaviourism, claiming that the first behaviourists such as Burrhus Skinner and Clark Hull were influenced by a naturalistic epistemology that was rooted in the works of the non-positivists such as Clarence Lewis.",This study concluded that letter knowledge did have a causal influence on subsequent phonological processing abilities. Similar support and acknowledgement of the influential relationship between letter knowledge and phonological awareness can be found in a study by Stahl and Murray (1994) who found that children with low letter knowledge also had lower abilities in phonological sensitivity tasks. In this study only 1 child of the 113 sampled (who all had low letter knowledge) was able to complete the phonological sensitivity task. Support for the theory that letter knowledge has an influence on phonological awareness also comes from several intervention studies that have specifically controlled for letter knowledge (see Bradley and Bryant (1983). These studies contain specific instruction on letter knowledge and looked at the impact of this on phonological awareness. Carroll (2004) carried out a 4 week intervention study where nursery school children were given daily letter knowledge training in order to assess it's impact on the childrens' phoneme awareness skills.,False,1565,612,9027,9064
855581,"Becker, 'Problems of Interference and Proof in Participant Observation', in W.J. Filstead (ed. ), Qualitative Methodology: firsthand involvement with the social world (Chicago 1970), p.189-201 Goffman argues that 'you should be in a position to cut yourself to the bone' resulting in the removal of your inhibitions allow for a more insightful study. Pryce places a considerable amount on his identity as a West Indian but, arguably, this is problematic as he is inhibited by his middle class and educated background and thus his approach ignores the method set forth by Goffman. However, his success in the use of his identity, especially in the Saints group, challenges Goffman's approach on completely losing your own identity. Pryce's use of stereotyping within the community, structures his report. He categorises the Bristol West Indian society into mainliners, hustlers, saints and teenyboppers, dealing with each group separately he, arguably, creates an artificial segregation of the community.","Britton notes that 'Fall joined Buckley and Doheny in the claim that Bolshevism was spreading into the United States through the work of Mexican consular and diplomatic officials'. Whilst some of the key characters in Mexico may have pushed a strong Bolshevik line the Revolution cannot be characterised in this way. The complexity of the relationship with Soviet Russia demonstrates that the character of the revolution cannot be placed under one ideological term. The Red Scare in the U.S. therefore was unwarranted and can be seen as a result of their historical relationship and attempt to justify their continued influence and protection of their economic interests in Mexico. Delphar, The Enormous Vogue of Things Mexican, p.17 U.S. Senate, Committee on Foreign Relations, Investigation of Mexican Affairs (Washington D.C., 1920), p.829 cited in Britton, Revolution and Ideology, p.41 In conclusion, it is extremely difficult to characterise the Mexican Revolution under one political ideology.",True,2357,1360,17640,17661
913615,"By integrating the services within selling and supply chains of its customers, the delivery company can increase customer loyalty and raise the competitive strength. 4.3.1 Demand managementIn this fast-growing industry, the efficient demand management is the key factor to achieve good customer satisfaction. The demand information should be reliable as much as possible as it will determine how much supplies the company needs to buy. For this small delivery company, it is a must to well understand the customer situation and needs, balance the customer satisfaction and supply chain efficiency. The primary issue is to know how much petrol is needed to support the daily transport, how many envelopes and boxes the company needs to purchase from its suppliers and how many computer hardware and software should be ready at its start-up period. All these factors should be considered based on the customer demands. 4.3.2 Supplier developmentThe number of suppliers: Reducing the number of suppliers and increasing the number of items from each supplier can be an effective strategy for this small delivery company. It aims at achieving full-truck-load efficiency and reducing the cost of purchasing. This will eventually help the company provide its customer with lower price.","The monitor evaluator ME: Monitor evaluator is a person who has high level mental ability and disinterested detachment particularly when facing the conflict among team members, which plays an important role in a project team (Nicholls, 2005). Indira seemed focus on generating new ideas more than critical reasoning and seldom judged the merits of any idea. Compared with plant and RI, ME is more critical, serious-minded, prudent and considerate (Nicholls, 2005). Generally, the more complex the decision-making process is and the more conflict that arise within a team, the more important the role that ME play (Nicholls, 2005). As a ME, Indira should have the ability to clarify complicated issues, generate understandable ideas, identify the weaknesses in ideas and assess its practicability, and make constructive comment. However, the lack of monitoring function of a team may consequently lead to the unbalanced team profile and out of control when conflicts occur. The team worker TW: They are known for averting friction and enabling team members to corporate smoothly as they have the skill of listening to others' opinion and coping with awkward colleagues (Nicholls, 2005).",False,702,1978,19105,19177
740817,"Granata book of the American Short Story: Page 605. Granata book of the American Short Story: Page 605  URL  The conflicting personalities of June and her mother starkly contrast to the huge vacuum that the lack of a dominant male presence presents in the story. June's father is pushed to the background in the story and there is mention of only one other man by name. He appears in the beginning introducing June to her place on the mah jong table, appearing later in the story at the first meeting of the Joy Luck club with June as a member. Although one may see this concentration on female characters as a slightly feminist novel, there are still sexual stereotypes presents, particularly regarding domestic roles. For example, Suyuan has to pack the bag for both her and her husband when the leave for San Francisco; however, all she packs are her silk dresses leaving out his cotton shirts and wool pants. This shows that she is more worried about bringing her own luxury items than the bare essentials for her husband, claiming ""there was no time to pack anything else.""","Although plantation accommodation was of poor quality, which was frequently damp, hot and usually overcrowded, (a far cry from the thatched mud huts they were used to at home) by the 1860s the Indians added a little of their own home ingenuity and coated the floors with hardened mud and smeared them with cow-dung which destroyed vermin. This demonstrated that while in some accommodation, which was so cramped it made it almost impossible for the Indians to maintain their caste rituals, the immigrants altered their housing to recreate a more traditional Indian or Chinese home. Both furnished their housing with items such as rugs, drapes, and curtains that resembled a home away from home far from being in accordance of European tastes. The Indians even placed charms around the house to ward off evil spirits. Chinese immigrants were fond of candles and lanterns which they would usually make themselves; both were important statements of traditional cultural identity. Walter Rodney, 'The Guyanese Working People.' P. 53 Brian L. Moore 'Cultural Power, Resistance and Pluralism.' p. 156 Housing became a very personal space for the immigrants in Guyana and all adapted their conditions to suit their own cultural tastes.",False,1662,771,15472,15589
